Title	Artist	Date	Subject	Description	Notes	Edition	Type	Original Format	Original Size	Digital Format	Repository	Repository Collection Guide	Restrictions	Cite As	Contact Info	Frame Size	Accession Number	Language	Object File Name	Item URL	Collection URL	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Cataloger	Cataloged Date	Digitized By	Publisher	Digitized Date	Credit Line	Contributors	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
the veil	Durieux, Caroline, 1896-1989	1939	Veils; Women	A woman with veil.	This print was drawn with a lithographic pencil and ink on stone. The entire satire lies in the fact that in this work, the "veil" veils nothing. The female is revealed for what she is  and she cannot hide behind the veil. The obvious character of the woman is revealed not only in her facial expression, but also by the military suggestion of her costume. The emphasis on the veil is created by use of ink and pen. The dots were created using ink, while the crisp line was fashioned with pen and ink. The crumbling lines in the print resulted from using a lithographic pencil and crayon.	Ed. 12	Image	Black lithograph	10-1/4 x 8-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.16		cd000037	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	JC		2004-07-13		Printed by George Miller		2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/180	180	48414139102003_278.jp2		/CWD/image/48414139102003_278.jp2
Tomorrow	Durieux, Caroline, 1896-1989	1947	Men; women	The scene depicts two figures turning into stone. One can only guess at the cause for this transformation as all details are eliminated to give an abstract symbolic quality to the work.	This lithograph was printed by the artist while at LSU. The drawing, done on stone, was made using lithographic pencil. The figures appear to cling together in terror in the presence of an unseen force outside the vignetted picture plane. The force, claims the artist, is terror itself. Ms. Durieux related that she felt the statement of the print is still valid today, as the world doesn't look any better then it did then.	Ed. 20	Image	Black lithograph	8 x 5-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.50		cd000150	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	PA		2004-08-10				2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/181	181	14016139102003_316.jp2		/CWD/image/14016139102003_316.jp2
Luncheon	Durieux, Caroline, 1896-1989	1955	Men; Women; Eating & drinking	The print depicts, satirically, a ladies' luncheon.	This etching was printed in the home studio of the artist.. The print was made using white ink on blue oriental paper. This work was never printed in black and white. The scene is composed entirely of line and appears as a typical busy gathering of society ladies. Ms. Durieux recalls no one particular luncheon but appears typical of many she's attended. The quick activity in the line suggests that this luncheon is a "busy" one, perhaps to the point of appearing "noisy". Each "member" of this gathering is distinctively attired and a most interesting and varied array of hats is displayed. Ms. Durieux has made this not only a satirical comment on ladies' luncheons but on the extremes that millinery adventures go.	6 of 10	Image	White etching on blue rice paper	7-7/8 x 5-7/16 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		74.1.5		cd000080	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	PA		2004-07-27				2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/182	182	79618139102003_376.jp2		/CWD/image/79618139102003_376.jp2
Young Sarai (gamme cromatique)	Durieux, Caroline, 1896-1989	1962	Men; Young adults	A young man in blue and yellow.	This is the artist's proof from the blue and yellow stone for the print "Young Sarai." See accession number 68.9.93 for a general description of the print.	Third proof run from blue and yellow stone.	Image	Color lithograph	20-3/8 x 15-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.95		cd000067	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	PA		2004-07-20				2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/183	183	21818139102003_363.jp2		/CWD/image/21818139102003_363.jp2
Six o'clock, Mardi Gras day	Durieux, Caroline, 1896-1989	1946	People; Sleeping; Carnival;	Two people sleeping on the bench.			Image	BLACK LITHOGRAPH	13-3/8 x 9-3/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.42	NA	cd000182	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	2003-12-03	NA	NA	NA		NA		2003-12-05	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/184	184	75015139102003_307.jp2		/CWD/image/75015139102003_307.jp2
Amelia	Durieux, Caroline, 1896-1989	1953	Women	Portrait of a woman executed in a dry brush like line quality. She has short hair and dark lips. She is wearing a round necked dress with center buttons and a filmy scarf around the collar.			Image	Black electron	9-3/4 x 7 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		84.20.13		cd000042	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1				KM Krolak	2001-02-06	PA		2004-07-13	Dr. & Mrs. Harry E. Wheeler, Lexington, KY			2004-08-13	2008-03-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/185	185	021139102003_425.jp2		/CWD/image/021139102003_425.jp2
committee of the whole	Durieux, Caroline, 1896-1989	1977	Abstract paintings	Abstract design of swirling lines, weaving in and out of each other. Form is composed of five "E" shaped organic, rounded forms interlocking on different planes and in different directions. Four pairs of spirals are arranged loosely corresponding to the four corners of the central mass. The image is in various shades of gray and black, and the line has various textures, rough and smooth.			Image	Black and white cliché vérre	24-1/8 x 20-5/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		94.3		cd000166	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-12-02	JC		8-10-04	Mr. and Mrs. Stephen G. Henry			2004-08-10	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/186	186	68721139102003_441.jp2		/CWD/image/68721139102003_441.jp2
All saints day	Durieux, Caroline, 1896-1989	1953	Women; Mass transit; Flowers; Men	The composition depicts a familiar New Orleans subject matter, that of the traditional visits made to her cemeteries by individuals laden with floral arrangements, on "All Saints' Day" - -November 1st. The setting in this work is the interior of a New Orleans streetcar filled with people carrying bouquets to the cemeteries.	the drawing made on architects' tracing cloth, displays the finely /www.lwoventech.c linen texturing in its tonal areas. The drawing was done using dry brush and ink, and pen and ink. The ink itself was a radioactive solution  made by the artist.	3 of 5	Image	Black electron	9-3/8 x 8-1/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		67.1.7		cd000111	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-19	PA		2004-08-03		Assisted by Mrs. Wheeler at LSU, Baton Rouge, LA.		2004-08-03	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/187	187	74913139102003_261.jp2		/CWD/image/74913139102003_261.jp2
Roi du carnival - night parade	Durieux, Caroline, 1896-1989	1946	Carnival; Parades & processions; Kings	The scene depicts a night parade in which the king of this particular carnival organization rides atop his float illuminated by the glare from numerous torches.	This print was done in stone, drawn using a lithographic pencil. A great deal of scraping was used throughout the composition. The artist related that the print 's scene may now be considered a period piece, as the torches of this type are no longer in use. The suggestion of light illuminating from the torches and the "dripping sparks" are created by employing large amounts of scraping.	Ed. 15	Image	Black lithograph	14-3/4 x 11-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.39		cd000180	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-12-02	JC		08-10-2004				2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/188	188	56215139102003_303.jp2		/CWD/image/56215139102003_303.jp2
1975	Durieux, Caroline, 1896-1989	1975	Men; Graduation ceremonies	Satirical, double, bust-length portrait of two  typical male professors of 1975 dressed in academic gowns and mortarboards. Both professors have narrow elongated faces with a great deal of facial hair.	the print is the companion to the one entitled "1955".	5 of 15	Image	Black and white electron	20 x 14-11/16 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		76.12.7		cd000004	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	color	1:1				XZ	2003-11-11	PA		2004-07-13				2004-08-13	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/189	189	45319139102003_391.jp2		/CWD/image/45319139102003_391.jp2
Dinner	Durieux, Caroline, 1896-1989	1939	Men; Women; Dining rooms;	Six men and woman talking and having dinner.			Image	BLACK LITHOGRAPH	10-1/4 x 8-3/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.14	NA	cd000113	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	2003-11-19	NA	NA	NA		NA		2003-11-19	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/190	190	40614139102003_276.jp2		/CWD/image/40614139102003_276.jp2
Annunciation	Durieux, Caroline, 1896-1989	1972	Women	A woman.			Image	Black and white cliché verre	20 x 15-1/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		74.1.16		cd000054	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	PA		2004-07-20				2004-08-13	2008-03-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/191	191	71818139102003_374.jp2		/CWD/image/71818139102003_374.jp2
Lost pentagons	Durieux, Caroline, 1896-1989	1958	Abstract paintings	The subject matter is an abstracted composition of pentagon forms made of lines created by brush work.	The isotope used in this print was Sulfur 35 combined with four color matrices. The colors present in the print are grey, dark greyish-green, blue-grey and red. The artist explained that the dark areas were created by overprinting. The dark dots seen in the print result from printing twice in dark grey then overprinting with red.  Ms. Durieux remarked that all the lines in the print were made using various brushes, varying in degrees of fineness.		Image	Color electron	13 x 16-3/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.90		cd000102	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27		assisted by Dr. John Christman, LSU, Baton Rouge, Louisiana.		2004-07-27	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/192	192	018139102003_358.jp2		/CWD/image/018139102003_358.jp2
IMPASSE	Durieux, Caroline, 1896-1989	1953	NA	NA			Image	BLACK ELECTRON	H: 11-1/8    W: 6-1/8	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments	24-13/16X22-13/16	67.1.9	NA	cd000204	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-02-16	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/193	193	82813139102003_263.jp2		/CWD/image/82813139102003_263.jp2
Theatre lobby	Durieux, Caroline, 1896-1989	1974	Theaters; Lobbies; People; Audiences	In the best tradition of Durieux's satirical drawings this image pokes good-natured fun at a supposedly sophisticated theater audience in the lobby at intermission time. Note that the men are mostly middle aged and balding and the artist exaggerated the longer hair styles and full side burns in addition to the wearing of turtlenecks shirts with either a pendent on a gold chain (man in the middle ground left) or bolo tie (man on right).	This drawing is the study sketch for the black and white cliché vérre 1975 print of the same name (Acc. no. 76.12.21 in this collection)		Image	Pencil on paper	10-3/4 x 13 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		93.21		cd000165	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-12-02	JC		8-10-04				2004-08-10	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/194	194	60921139102003_439.jp2		/CWD/image/60921139102003_439.jp2
Frail banner	Durieux, Caroline, 1896-1989	1963	Abstract paintings	The subject is that of a frail banner as suggested by the central massing of the composition. The banner appears as if it deteriorating.	This print is the first collaboration between Ms Durieux and Dr. John Christman, LSU. The print was made using two colors; pinkish brown and greenish brown. Slight variations of these colors result due to the thickness of the emulsion and the chemical reaction of these dyes to the light exposure. Ms. Durieux felt that the subject matter of the print made a symbolic statement if one recognized the banner as a symbol of organization, whether it be that of a nation or whatever.	2 of 7	Image	Color cliché verre	14-7/8 x 11-7/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.104		cd000100	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27		assisted by Dr. John Christman, LSU, Baton Rouge, Louisiana.		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/195	195	18714139102003_271.jp2		/CWD/image/18714139102003_271.jp2
Baby demon	Durieux, Caroline, 1896-1989	1976	Demons				Image	WATERCOLORED ELECTRON	DIAM: 9 7/8	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		77.22.16		cd000196	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1												2004-07-19	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/196	196	95319139102003_402.jp2		/CWD/image/95319139102003_402.jp2
Mystic	Durieux, Caroline, 1896-1989	1976	Men; Mystics	Full face view of a male subject bust-length, who has a full beard and head of hair.	the sponge-like quality of the artist's lines give the hair the illusion of being curly. The face is literally ringed with hair. The sitter has a long aquiline nose and deep-set, mystical eyes. The overall configuration of the face is classical.	5 of 10	Image	Black electron	13-3/4 x 12-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		77.22.12		cd000098	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27				2004-08-13	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/197	197	76519139102003_398.jp2		/CWD/image/76519139102003_398.jp2
Revelations	Durieux, Caroline, 1896-1989	1945	Women; Public speaking	The scene depicts a "revelation" which occurs during an intimate gossip session between two females. The females are each seated in a chair which appears to express the reaction of its occupant. The chairs therefore are exaggerated, as though they encircle and tensely listen to the gossip. Even the rug appears affected, a s its tufts stand on end. Everything, in its own manner, is used to serve the satire. Ms. Durieux related that there were a number of chairs in her family similar to these and a number of gossips as well.	This lithograph was printed by the artist at the printmaking facilities at LSU. The drawing, done in stone, was made using a lithographic pencil and a minimal amount of scraping. The composition is placed within a vignette plane. The work was printed on cream colored paper. The paper is a fine quality charcoal paper which had to be substituted due to the paper shortage created during the war.	Ed.20	Image	Black lithograph	12 x 10-1/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.32		cd000138	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	JC		08-03-2004				2004-08-03	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/198	198	26515139102003_296.jp2		/CWD/image/26515139102003_296.jp2
MASQUE (OR HAGAR)	Durieux, Caroline, 1896-1989/CHRISTMAN,JF	1961	NA	Abstract composition.	edition 4/10		Image	COLOR CLICHÉ VERRE	H: 15-1/4"    W: 11-3/4"	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		64.3.11	NA	cd000214	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-02-23	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/199	199	64012139102003_238.jp2		/CWD/image/64012139102003_238.jp2
