Title	Creator	Contributors	Date	Dates	Physical Description	Notes	Language	Type	Subjects	Coverage	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Ben Hur Plantation, Baton Rouge, La., 1926.	Swart, Reinier, Jr., 1885-1967.		1926		Map.	Survey map of Ben Hur Plantation, Baton Rouge, Louisiana. Bounded on the south by the Mississippi River. Highland Road is to the north east. Shows locations of some existing plantation structures. Scale 1:6,000.	English	Image	Plantations--Louisiana--East Baton Rouge Parish--Surveys.; Real property--Louisiana--East Baton Rouge Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i14_Ben_Hur_Plantation	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/18	18	19.jp2	/p16313coll57/image/19.jp2
Ben Hur Plantation, Baton Rouge, La., Oct. 1931.	Swart, Reinier, Jr., 1885-1967.		1931		Map.	Map of Ben-Hur Plantation, showing location of Ben Hur Road, Baton Rouge, Louisiana. Oriented north. Shows area bayous.  Scale 1:6,000.	English	Image	Plantations--Louisiana--East Baton Rouge Parish--Surveys.; Real property--Louisiana--East Baton Rouge Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i16_Ben_Hur_Plantation_Oct_1931	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/19	19	20.jp2	/p16313coll57/image/20.jp2
Boundary line survey, East and West Feliciana Parishes, Louisiana, 1890.	Robertson, M. P.	Hagoman, A. B.	1890		Map.	Cadastral map showing boundaries of East Feliciana Parish, from Thompson Creek and West Feliciana Parish to the west; Amite River and St. Helena Parish on the east; and East Baton Rouge Parish to the south. Shows many landowners' names. Heavily annotated in red pencil. Scale 1:80,467 (40 chains to the inch).	English	Image	East Feliciana Parish (La.)--Boundaries--Louisiana--East Baton Rouge Parish--Maps.; East Feliciana Parish (La.)--Boundaries--Louisiana--West Feliciana Parish--Maps.; East Feliciana Parish (La.)--Boundaries--Louisiana--St. Helena Parish Parish--Maps.;  Landowners--Louisiana--East Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 10	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f10i02_Boundary_Line	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/20	20	21.jp2	/p16313coll57/image/21.jp2
Boundary posts, East Feliciana and East Baton Rouge Parishes.			1890?		2 maps.	Surveyor's sketch and finished survey map establising boundary lines between East Feliciana and East Baton Rouge Parishes, in an area between the Mississippi River and Comite River; and from the Comite River to the Amite River. Oriented north, with North to the right. Gives some landmarks and landowners' names. Undated. No scale given.	English	Image	East Baton Rouge Parish (La.)--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 03	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f03i06_EF Post PL EBR	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/01/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/21	21	22.jp2	/p16313coll57/image/22.jp2
Cadastral survey, Slaughter, Louisiana; and Zachary, Louisiana.			1890?		Map.	Undated map showing properties and landowners in Slaughter, East Feliciana Parish; and Zachary, East Baton Rouge Parish, Louisiana. Scale not given.	English	Image	Real property--Louisiana--East Feliciana Parish--Maps.; Real property--Louisiana--East Baton Rouge Parish--Maps.; Landowners--Louisiana--East Feliciana Parish--Maps.; Landowners--Louisiana--East Baton Rouge Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i27_Slaughter	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/22	22	23.jp2	/p16313coll57/image/23.jp2
Cadastral survey, St. Francisville, La, 1930.			1930		Map.	Cadastral map showing land and property owners in St. Francisville, Louisiana. Bounded on the west by the Mississippi River; and on the east by Thompson Creek. Scale not given.	English	Image	Real property--Louisiana--West Feliciana Parish--Maps.; Landowners--Louisiana--West Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i29_St_Francisville	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/23	23	24.jp2	/p16313coll57/image/24.jp2
Cadastral survey, West Feliciana Parish, La, 1930.			1930		Map.	Cadastral map showing land and property owners in the southern portion of West Feliciana Parish, Louisiana. Oriented with north up and toward the top. Bounded on the west by the Mississippi River; and on the east by Thompson Creek. Scale 1:12,000.	English	Image	Real property--Louisiana--West Feliciana Parish--Maps.; Landowners--Louisiana--West Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i28_West Feliciana	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/24	24	25.jp2	/p16313coll57/image/25.jp2
Central High School Site, Baton Rouge, La., 1925	Swart, Reinier, Jr., 1885-1967.		1925		Map; hand drawn and colored.	'Topographical map, Central High School Site, Pujol Tract, Baton Rouge, La., October 12th, 1925, R. Swart, Engineer.'--Title block.  Scale: 1:600.	English	Image	School sites--Louisiana--Baton Rouge--Planning--Maps.; High schools--Louisiana--Baton Rouge--Planning--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3542ra104f01i08_Central High School Site	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/21/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/25	25	26.jp2	/p16313coll57/image/26.jp2
City of Baton Rouge, La., 1st Ward, 1855.	Gill, Michael		1855		Map.	Map of Baton Rouge, Louisiana. Lists specific neighborhoods within the city. Much of text and dimensions blurred with age. Some landowners' names given. Business directory on right hand portion of map. Scale 1:3,600.	English	Image	Baton Rouge (La.)--History--Maps.; Historic neighborhoods--Baton Rouge (La.)--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i11_City_of_BR_1st_Ward	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/26	26	27.jp2	/p16313coll57/image/27.jp2
Details of Chalmette Road, 1886.			1886		Map, hand drawn and colored.	Shows detail and elevation views of proposed Chalmette road, flume, drainage area borders, and ditches to be constructed. Shows location of gravel, oyster shell, clam shell, and river sand layers. Scales differ.	English	Image	Roads--Louisiana--St. Bernard Parish--Design and construction--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i37_Details of Chalmette Road	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/21/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/29	29	30.jp2	/p16313coll57/image/30.jp2
East and North Boulevards, Baton Rouge, La.			1929?	1929; 1930; 1931; 1932; 1933; 1934; 1935; 1936; 1937; 1938; 1939	Map.	Undated survey map showing numbered properties in a square bounded by East Boulevard; North Boulevard; Baxter Alley; and Government Street. Scale not given. Annotations in pencil, including upated street names.	English	Image	Real property--Louisiana--Baton Rouge--Surveys.; Landowners--Louisiana--East Baton Rouge Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f01i15_Mr Arnelia B	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/24/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/30	30	31.jp2	/p16313coll57/image/31.jp2
Fairfields subdivision, Baton Rouge, La.			unknown		Map.	Map of planned neighborhood in north Baton Rouge. Laid out in 16 blocks, each with individually numbered lots.  Undated, no scale given. Lower left portion of map missing.	English	Image	Historic neighborhoods--Baton Rouge (La.)--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i24_Fairfields	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/29/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/31	31	32.jp2	/p16313coll57/image/32.jp2
Gulf States Utilities Co., Baton Rouge, Louisiana : right of way across Badley and Mitchell properties, 1952.	Huey, P. W. (Preston)	Swart, Reinier, Jr., 1885-1967.	1952		Map	Map showing right-of-way across the properties of Nan and Daisy Badley; and W.M. Mitchell.  Oriented with north up and slightly to the right. Bounded by Harding Field to the north; Mickens Road to the east; Ford Street and the Zion City subdivision to the south; and the intersection of Plank Road and Harding Blvd. to the west.   Far-right section of map is an enlarged plan showing proposed substation enlargement and right of way.  Scale 1:4800. Scale of enlarged section plan 1:2400. Project no. 'DO-147.'	English	Image	Public utilities--Right of way--Louisiana--East Baton Rouge Parish.; Gulf States Utilities Company--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i18_Gulf States Utilities	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/24/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/32	32	33.jp2	/p16313coll57/image/33.jp2
Herman Tract, or, Perry (now Appleby) Survey.	Young, T. W. (Surveyor)	Ticknor (Draftsman)	1938		Map.	Map and surveyor's notes of T. W. Young, of the Herman Tract of B. F. Appleby near Slaughter, Louisiana. Scale not given.	English	Image	Real property--Louisiana--East Feliciana Parish--Maps.; Landowners--Louisiana--East Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i27_Herman Tract or Perry now Appleby Survey	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/19/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/35	35	36.jp2	/p16313coll57/image/36.jp2
Hollywood Plantation and Stockfarm, Baton Rouge, La., 1862.	Gourrier, E.		1862		Map; hand drawn and colored.	Survey map of Henry Von Phul Jr.'s Hollywood Plantation and stock farm in East Baton Rouge Parish, Louisiana. Oriented with north up and to the left. Shows location of plantation structures and stables. Table of bearing trees on left-hand side of map. Scale 1:31,680.	English	Image	Landowners--Louisiana--East Baton Rouge Parish--Maps.; Plantations--Louisiana--East Baton Rouge Parish--Surveys.; Livestock farms--Louisiana-Baton Rouge.; Von Phul, Henry, 1830-1907.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i01_Hollywood_Plantation_and_Stockfarm	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/21/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/36	36	37.jp2	/p16313coll57/image/37.jp2
Iberville Parish Dow Chemical Purchase, 1956.	Swart, Reinier, Jr., 1885-1967.	Swart, Reinier, Jr., 1885-1967.	1956		Map.	Map showing survey of properties purchased by Dow Chemical Company in Iberville Parish, Louisiana. Shows landowners' names and extent of holdings. Oriented with north up and to the left. Scale 1:2400. Stamped: 'State of Louisiana, R. Swart, Reg. No. 59, Registered Professional Engineer in Civil Engineering' and 'State of Louisiana, P. W. Huey, Reg. No. 111, Registered Land Surveyor.'	English	Image	Acquisition of property--Louisiana--Iberville Parish--Surveys.; Landowners--Louisiana--Iberville Parish--Surveys. ; Dow Chemical Company.; Industrial sites--Louisiana--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i23_Iberville Parish Dow Purchase 1956	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/19/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/41	41	42.jp2	/p16313coll57/image/42.jp2
Lavigne Survey, 1894.	Swart, Reinier, Sr., 1845-1917.		1894		Map.	Survey made for Oscar and Belisaire Lavigne, for purpose of dividing their West Baton Rouge Parish lands between them. Swart had to survey the neighboring Belleville amd Lobdell Plantations in order to access the Lavigne properties. Scale not given.	English	Image	Real property--Louisiana--West Baton Rouge Parish--Maps.; Plantations--Louisiana--West Baton Rouge Parish--Surveys.; Landowners--Louisiana--West Baton Rouge Parish--Maps.; Plantations--Louisiana--Lobdell Plantation--Surveys.; Plantations--Louisiana--Belleville Plantation--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i47_Lavigne Survey 1894	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57			2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/44	44	45.jp2	/p16313coll57/image/45.jp2
