Title	Series	Photographer	Date	Description of Original	Notes	Type	Subjects	Digital Collection	Repository	Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Item URL	Collection URL	Digital Reproduction Information	Image ID (from Finding Aid)	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
St. Vincent's Academy.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1890 - 1899?	Photograph : glass plate negative / polyester interpositive	See "Elks' Souvenir of Baton Rouge," page 64.	Still image	St. Vincent's Academy (Baton Rouge, La.)--Photographs; Catholic schools--Louisiana--Baton Rouge--Photographs; Single-sex schools--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn048		2012-05-29	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/151	151	152.jp2	/p15140coll12/image/152.jp2
Washington Fire Company No. 3 fireman accompanying Firemen's Parade float, Baton Rouge.	Firemen	Lytle, Andrew David, 1834-1917.	1900?	Photograph : glass plate negative / polyester interpositive		Still image	Parades--Louisiana--Baton Rouge--Photographs; Parade floats--Louisiana--Baton Rouge--Photographs; Fire fighters--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn065		2012-05-29	2014-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/154	154	155.jp2	/p15140coll12/image/155.jp2
Baton Rouge National Cemetery.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1899?	Photograph : resin coated paper print from copy negative	The Baton Rouge National Cemetery was so designated in 1867. Remains were brought to Baton Rouge National Cemetery from the battlefields near Baton Rouge as well as the surrounding area, including Plaquemine, La., and Camden, Ark.	Still image	Baton Rouge National Cemetery--Photographs; National cemeteries, American--Louisiana--Baton Rouge--Photographs; Monuments--Louisiana--Baton Rouge--Photographs; Sepulchral monuments--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Album Photograph Collection, Mss. 3708, Louisiana and Lower Mississippi Valley Collections, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	3708_209		2012-05-29	2014-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/157	157	158.jp2	/p15140coll12/image/158.jp2
United States Army artillery at the Baton Rouge garrison.	Civil War	Lytle, Andrew David, 1834-1917.	1861? - 1865?	Photograph : albumen print		Still image	United States. Army--Artillery--Photographs; Louisiana State University and Agricultural and Mechanical College--Photographs; United States--History--Civil War, 1861-1865--Artillery operations--Photographs; Baton Rouge--History--Civil War, 1861-1865--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_CU-08		2012-05-29	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/200	200	201.jp2	/p15140coll12/image/201.jp2
Mortuary portrait of Andrew S. Lytle.	Lytle family portraits	Lytle, Andrew David, 1834-1917.	1859	Photograph : resin coated paper print from copy negative	Andrew S. Lytle was the first child of A.D. and Mary Lytle.	Still image	Lytle, Andrew S., 1857-1859--Portraits; Postmortem photography--Louisiana--Baton Rouge; Funeral rites and ceremonies--Louisiana--Baton Rouge--Photographs; Dead--Photographs; Babies--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Album Photograph Collection, Mss. 3708, Louisiana and Lower Mississippi Valley Collections, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	3708_014		2012-05-29	2014-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/212	212	213.jp2	/p15140coll12/image/213.jp2
Sand and gravel mining site.	West Feliciana Parish, La.	Lytle, Andrew David, 1834-1917.	1880? - 1910?	Photograph : albumen print		Still image	Sand and gravel mines and mining--Environmental aspects --Louisiana--Photographs.; Outdoor photography--Louisiana--West Feliciana Parish.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-265		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/218	218	219.jp2	/p15140coll12/image/219.jp2
Pirogue on the Amite River.	Amite River	Lytle, Andrew David, 1834-1917.	1880? - 1910?	Photograph : albumen print		Still image	Boats and Boating--Amite River--Louisiana--Photographs; Rivers--Louisiana--Photographs; Amite River (La.)--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_A-077		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/222	222	223.jp2	/p15140coll12/image/223.jp2
Log raft on the Amite River.	Amite River	Lytle, Andrew David, 1834-1917.	1880? - 1910?	Photograph : albumen print		Still image	Log driving--Louisiana--Amite River--Photographs; Rivers--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_A-078		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/223	223	224.jp2	/p15140coll12/image/224.jp2
A view of the Amite River.	Amite River	Lytle, Andrew David, 1834-1917.	1880? - 1910?	Photograph : albumen print		Still image	Rivers--Louisiana--Photographs; Amite River (La.)--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_A-028		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/224	224	225.jp2	/p15140coll12/image/225.jp2
Howard and Andrew Lytle, Jr., fishing on the Amite River.	Lytle family portraits	Lytle, Andrew David, 1834-1917.	1880? - 1910?	Photograph : albumen print	See "Elk's Souvenir of Baton Rouge," page 38, image 3.	Still image	Children--Louisiana--Photographs; Fishing--Louisiana--Amite River--Photographs; Rivers--Louisiana--Photographs; Amite River (La.)--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-071		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/225	225	226.jp2	/p15140coll12/image/226.jp2
View of the Amite River from a bridge.	Amite River	Lytle, Andrew David, 1834-1917.	1895?-1910?	Photograph : albumen print		Still image	Log driving--Louisiana--Amite River--Photographs; Rivers--Louisiana--Photographs; Amite River (La.)--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-260		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/226	226	227.jp2	/p15140coll12/image/227.jp2
Amite River scene.	Amite River	Lytle, Andrew David, 1834-1917.	1880? - 1910?	Photograph : albumen print	See "Elks' Souvenir of Baton Rouge," page 38, image 4.	Still image	Rivers--Louisiana--Photographs; Amite River (La.)--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_A-076		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/227	227	228.jp2	/p15140coll12/image/228.jp2
View of First Baptist Church, 314 Florida Street, in the right foreground. Pike's Opera House and the Capitol may be seen in the background.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1880	Photograph : albumen print	Pike's Opera Hall on Third Street was built in the early 1860s.	Still image	Pike's Hall (Baton Rouge, La.)--Photographs; Theaters--Louisiana--Baton Rouge--Photographs; Baptist church buildings--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_A-034		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/233	233	234.jp2	/p15140coll12/image/234.jp2
United States Army camp seen across a field.	Civil War	Lytle, Andrew David, 1834-1917.	1862?	Photograph : carte de visite		Still image	Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.; Louisiana--History--Civil War, 1861-1865--Photographs; Military camps--Louisiana--Baton Rouge--Photographs; Tents--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_AU04		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/235	235	236.jp2	/p15140coll12/image/236.jp2
Horses at the United States Army encampment, Baton Rouge, about 1863.	Civil War	Lytle, Andrew David, 1834-1917.	1862?	Photograph : carte de visite		Still image	Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.; Horses--Louisiana--Baton Rouge--Photographs; Military camps--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_AU01		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/236	236	237.jp2	/p15140coll12/image/237.jp2
Baton Rouge riverfront, about 1863.	Civil War	Lytle, Andrew David, 1834-1917.	1863?	Photograph : carte de visite	Front Street in Baton Rouge ran along the riverfront of the Mississippi River. Note this photograph was made before the construction of the levee in Baton Rouge.	Still image	Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.; Waterfronts--Louisiana--Baton Rouge--Photographs; Baton Rouge (La.)--Buildings, structures, etc.--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_AU08		2013-05-06	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/237	237	238.jp2	/p15140coll12/image/238.jp2
